,Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
4496,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,1,1,2
103,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,1,3
2347,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,1,2
5346,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
3367,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
4539,FALSE POSITIVE,1,1,1,1,1,1,1,3,1,3,1,2,1,2
4790,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
6917,FALSE POSITIVE,1,1,0,1,1,1,1,1,1,3,1,2,3,2
226,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1715,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1639,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
2366,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
934,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,3
5857,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
149,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,1,3
6878,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,2,3,2
1641,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
1362,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
978,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,1,2
6083,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,2,1
3218,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
994,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5870,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,2,1,2
3370,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,3,2
1700,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3319,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
2396,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
2813,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
6559,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,1,2
2614,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4921,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,2,2
4222,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
568,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,3
4007,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
3062,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,2,2
6385,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
5330,FALSE POSITIVE,2,1,1,1,1,1,1,2,1,3,1,2,1,1
3272,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
1983,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4930,FALSE POSITIVE,1,1,1,1,2,1,1,1,1,3,1,2,2,2
802,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
882,CONFIRMED,1,1,0,1,1,1,1,1,1,3,1,2,1,2
4428,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
3074,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,1,1,2
396,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,1,2
440,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2690,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3726,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
2457,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
1344,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
5062,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3430,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,1,2,2
3037,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
869,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
5407,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
5137,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
5940,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5380,FALSE POSITIVE,1,1,0,1,1,1,1,1,1,3,1,2,2,2
3241,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
6132,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,3
4046,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
2029,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
2898,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,3
5688,FALSE POSITIVE,1,1,0,1,1,1,1,1,1,2,1,2,2,2
464,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2491,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,1,2
465,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,3
3601,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
1540,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,1,3
2322,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
1133,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
5718,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,2,2,2
5218,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
988,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,3,2,2
1477,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
6066,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,1,1,2
